place_id,name,type,source,lat,lng,ward_number,population,households,area_sqkm,population_density,population_density_proxy,rating,review_count,price_level,has_rating,log_review_count,rating_review_signal,competitors_within_500m,competitors_within_200m,competitors_min_distance,competitors_avg_distance,roads_within_500m,roads_avg_distance,schools_within_500m,schools_within_200m,schools_min_distance,hospitals_within_500m,hospitals_min_distance,bus_stops_within_500m,bus_stops_min_distance,education_points_within_500m,education_points_within_200m,education_students_within_500m,education_intensity_score,accessibility_score,foot_traffic_score,competition_pressure,location_density_score,ward_population_log,road_feature_source,is_operational,computed_schools_within_500m,computed_schools_within_200m,computed_schools_min_distance,computed_hospitals_within_500m,computed_hospitals_within_200m,computed_hospitals_min_distance,computed_bus_stops_within_500m,computed_bus_stops_within_200m,computed_bus_stops_min_distance,computed_competitors_within_500m,computed_competitors_within_200m,computed_competitors_min_distance,computed_competitors_avg_distance,dataset_count_raw_files,combined_at,observed_outcome_score,observed_outcome_confidence,observed_outcome_tier,labeling_version
osm_1898414114,Old House Cafe,cafe,openstreetmap,27.7138792,85.3249137,1.0,6225.0,1383.0,1.3,4788.0,4.788,0.0,0.0,0.0,0,0.0,0.0,16.0,2.0,0.0,343.52,18.0,378.85,4.0,1.0,46.93,2.0,192.93,1.0,447.97,4,1,2791,3.4369,1.59,5.8,10.0,4.1828,8.7365,enriched,True,9,2,46.93,12,3,96.32,0,0,996.48,15,1,33.63,3801.41,8,2026-03-23T08:50:30.648265+00:00,32.4204,0.6675,low_outcome,observed_outcome_v1
osm_10591329467,Penthouse Rooftop Bar & Lounge,cafe,openstreetmap,27.7129871,85.3175913,1.0,6225.0,1383.0,1.3,4788.0,4.788,0.0,0.0,0.0,0,0.0,0.0,26.0,6.0,0.0,308.11,24.0,212.9,8.0,0.0,388.42,1.0,355.83,2.0,122.88,5,0,300,2.8914,4.66,3.4,10.0,4.2638,8.7365,enriched,True,13,0,381.8,4,0,257.95,1,0,286.98,24,4,35.97,3824.7,8,2026-03-23T08:50:30.648265+00:00,26.0272,0.6127,low_outcome,observed_outcome_v1
osm_4293343214,Red pepper cafe,cafe,openstreetmap,27.7174713,85.3273617,1.0,6225.0,1383.0,1.3,4788.0,4.788,0.0,0.0,0.0,0,0.0,0.0,19.0,7.0,0.0,262.43,13.0,364.18,11.0,1.0,69.99,3.0,255.83,1.0,302.4,11,1,3416,5.9273,2.16,8.3,10.0,5.2288,8.7365,enriched,True,22,2,67.2,17,1,80.9,0,0,1369.61,18,6,38.83,3959.16,8,2026-03-23T08:50:30.648265+00:00,38.8601,0.709,low_outcome,observed_outcome_v1
osm_2166592516,The Coffee Shop,cafe,openstreetmap,27.7113258,85.3173738,1.0,6225.0,1383.0,1.3,4788.0,4.788,0.0,0.0,0.0,0,0.0,0.0,31.0,11.0,0.0,293.9,28.0,246.66,11.0,0.0,203.77,1.0,261.18,3.0,239.05,7,1,13700,4.805,4.64,6.1,10.0,5.2028,8.7365,enriched,True,19,1,197.07,3,0,261.18,1,0,224.55,29,9,80.38,3772.31,8,2026-03-23T08:50:30.648265+00:00,39.819,0.7212,low_outcome,observed_outcome_v1
osm_4767236880,Unknown Cafe,cafe,openstreetmap,27.712684,85.3174635,1.0,6225.0,1383.0,1.3,4788.0,4.788,0.0,0.0,0.0,0,0.0,0.0,30.0,6.0,0.0,319.2,24.0,207.38,9.0,0.0,354.55,1.0,325.7,2.0,149.55,5,0,300,2.8914,4.75,3.7,10.0,4.3958,8.7365,enriched,True,15,0,347.9,3,0,273.07,1,0,259.41,28,4,6.45,3815.73,8,2026-03-23T08:50:30.648265+00:00,26.0327,0.6127,low_outcome,observed_outcome_v1
osm_4846949123,Unknown Cafe,cafe,openstreetmap,27.7121939,85.3213096,1.0,6225.0,1383.0,1.3,4788.0,4.788,0.0,0.0,0.0,0,0.0,0.0,21.0,1.0,0.0,385.14,24.0,360.46,3.0,0.0,433.55,0.0,500.0,1.0,285.61,5,0,2906,3.345,2.25,1.2,10.0,2.7708,8.7365,enriched,True,10,0,387.59,4,1,141.87,0,0,612.88,19,0,229.7,3754.42,8,2026-03-23T08:50:30.648265+00:00,32.4078,0.6669,low_outcome,observed_outcome_v1
osm_4903561323,Unknown Cafe,cafe,openstreetmap,27.7125117,85.3185407,1.0,6225.0,1383.0,1.3,4788.0,4.788,0.0,0.0,0.0,0,0.0,0.0,22.0,6.0,0.0,293.57,28.0,264.68,5.0,0.0,351.38,1.0,409.1,2.0,100.99,3,0,0,1.05,4.14,2.5,10.0,3.7928,8.7365,enriched,True,9,0,345.4,3,1,173.91,1,0,351.22,20,4,107.37,3793.98,8,2026-03-23T08:50:30.648265+00:00,7.8394,0.4657,low_outcome,observed_outcome_v1
osm_4916380621,Unknown Cafe,cafe,openstreetmap,27.7171524,85.3254913,1.0,6225.0,1383.0,1.3,4788.0,4.788,0.0,0.0,0.0,0,0.0,0.0,15.0,7.0,0.0,229.02,9.0,391.52,9.0,1.0,130.28,3.0,175.64,1.0,480.91,10,1,2156,5.4853,1.22,7.7,10.0,4.7368,8.7365,enriched,True,19,2,130.28,12,2,175.64,0,0,1192.07,14,6,41.32,3940.76,8,2026-03-23T08:50:30.648265+00:00,36.6646,0.6927,low_outcome,observed_outcome_v1
osm_5235946722,Unknown Cafe,cafe,openstreetmap,27.7098282,85.3273068,1.0,6225.0,1383.0,1.3,4788.0,4.788,0.0,0.0,0.0,0,0.0,0.0,13.0,3.0,0.0,298.54,15.0,275.0,11.0,1.0,139.7,2.0,102.22,2.0,123.86,16,2,7929,8.2957,3.94,8.2,8.78,5.7278,8.7365,enriched,True,38,4,137.18,15,2,100.36,0,0,1109.11,12,2,163.25,3676.73,8,2026-03-23T08:50:30.648265+00:00,47.6215,0.7621,medium_outcome,observed_outcome_v1
osm_5382283622,Unknown Cafe,cafe,openstreetmap,27.7087812,85.3244624,1.0,6225.0,1383.0,1.3,4788.0,4.788,0.0,0.0,0.0,0,0.0,0.0,25.0,5.0,0.0,289.48,13.0,271.2,10.0,1.0,39.43,6.0,310.45,2.0,206.23,14,5,10475,9.0014,4.14,8.0,10.0,5.7178,8.7365,enriched,True,33,7,39.43,13,1,151.71,0,0,805.9,24,4,70.25,3642.73,8,2026-03-23T08:50:30.648265+00:00,50.0067,0.7785,medium_outcome,observed_outcome_v1
