place_id,name,type,source,lat,lng,ward_number,population,households,area_sqkm,population_density,population_density_proxy,rating,review_count,price_level,has_rating,log_review_count,rating_review_signal,competitors_within_500m,competitors_within_200m,competitors_min_distance,competitors_avg_distance,roads_within_500m,roads_avg_distance,schools_within_500m,schools_within_200m,schools_min_distance,hospitals_within_500m,hospitals_min_distance,bus_stops_within_500m,bus_stops_min_distance,education_points_within_500m,education_points_within_200m,education_students_within_500m,education_intensity_score,accessibility_score,foot_traffic_score,competition_pressure,location_density_score,ward_population_log,road_feature_source,is_operational,computed_schools_within_500m,computed_schools_within_200m,computed_schools_min_distance,computed_hospitals_within_500m,computed_hospitals_within_200m,computed_hospitals_min_distance,computed_bus_stops_within_500m,computed_bus_stops_within_200m,computed_bus_stops_min_distance,computed_competitors_within_500m,computed_competitors_within_200m,computed_competitors_min_distance,computed_competitors_avg_distance,dataset_count_raw_files,combined_at
osm_10024851083,Roadside Cafe,cafe,openstreetmap,27.6858625,85.3447406,32.0,83390.0,18531.0,4.4,18952.0,18.952,0.0,0.0,0.0,0,0.0,0.0,23.0,9.0,0.0,286.94,29.0,246.8,19.0,7.0,88.69,3.0,38.73,0.0,500.0,25,8,6711,14.1123,3.04,10.0,10.0,11.0452,11.3313,enriched,True,46,16,88.69,39,19,6.94,0,0,1452.22,22,8,23.68,4052.15,8,2026-03-23T08:50:30.648265+00:00
osm_10026882908,Ramechap Khana Khaja And Momo Ghar,cafe,openstreetmap,27.6747824,85.3715855,,37599.0,8355.0,2.2,14704.0,14.704,0.0,0.0,0.0,0,0.0,0.0,7.0,5.0,70.56,5824.39,8.0,1500.0,0.0,0.0,1516.87,0.0,1781.2,0.0,2853.96,0,0,0,0.0,0.0,5.57125,2.1,7.0963,10.5348,fallback,True,0,0,1516.87,0,0,1781.2,0,0,2853.96,7,5,70.56,5824.39,8,2026-03-23T08:50:30.648265+00:00
osm_10035511144,बरिस्त,cafe,openstreetmap,27.7354065,85.3166593,,37599.0,8355.0,2.2,14704.0,14.704,0.0,0.0,0.0,0,0.0,0.0,12.0,4.0,42.28,5295.71,8.0,1500.0,33.0,4.0,110.18,16.0,83.2,1.0,486.48,14,1,6000,7.0899,2.85,5.57125,3.6,7.9513,10.5348,fallback,True,33,4,110.18,16,9,83.2,1,0,486.48,12,4,42.28,5295.71,8,2026-03-23T08:50:30.648265+00:00
osm_10036515873,Swadilo Cafe,cafe,openstreetmap,27.735063,85.3111191,,37599.0,8355.0,2.2,14704.0,14.704,0.0,0.0,0.0,0,0.0,0.0,5.0,0.0,259.2,5419.5,8.0,1500.0,16.0,3.0,137.64,12.0,25.97,6.0,60.37,7,1,3084,4.5069,4.6,5.57125,1.5,8.4763,10.5348,fallback,True,16,3,137.64,12,6,25.97,6,4,60.37,5,0,259.2,5419.5,8,2026-03-23T08:50:30.648265+00:00
osm_10038480607,तहरा क्याफे,cafe,openstreetmap,27.7395291,85.31616,,37599.0,8355.0,2.2,14704.0,14.704,0.0,0.0,0.0,0,0.0,0.0,10.0,1.0,59.36,5663.31,8.0,1500.0,11.0,3.0,70.01,18.0,224.55,0.0,654.13,0,0,0,0.0,2.5,5.57125,3.0,7.8463,10.5348,fallback,True,11,3,70.01,18,0,224.55,0,0,654.13,10,1,59.36,5663.31,8,2026-03-23T08:50:30.648265+00:00
osm_10048565004,5 Flavours Puchka House and Cafe,cafe,openstreetmap,27.6870488,85.3660511,,37599.0,8355.0,2.2,14704.0,14.704,0.0,0.0,0.0,0,0.0,0.0,5.0,1.0,2.44,5098.78,8.0,1500.0,6.0,0.0,241.26,0.0,655.75,0.0,2785.84,3,0,1365,2.4939,0.9,5.57125,1.5,7.3663,10.5348,fallback,True,6,0,241.26,0,0,655.75,0,0,2785.84,5,1,2.44,5098.78,8,2026-03-23T08:50:30.648265+00:00
osm_10048565005,Bud's Cafe,cafe,openstreetmap,27.6870644,85.3660685,,37599.0,8355.0,2.2,14704.0,14.704,0.0,0.0,0.0,0,0.0,0.0,5.0,1.0,2.44,5099.54,8.0,1500.0,6.0,0.0,243.36,0.0,656.67,0.0,2788.24,3,0,1365,2.4939,0.9,5.57125,1.5,7.3663,10.5348,fallback,True,6,0,243.36,0,0,656.67,0,0,2788.24,5,1,2.44,5099.54,8,2026-03-23T08:50:30.648265+00:00
osm_10049098917,Hamro Khaja Ghar,cafe,openstreetmap,27.6723913,85.3648114,,37599.0,8355.0,2.2,14704.0,14.704,0.0,0.0,0.0,0,0.0,0.0,8.0,5.0,5.54,5537.61,8.0,1500.0,0.0,0.0,1064.99,0.0,1179.51,0.0,2180.29,0,0,0,0.0,0.0,5.57125,2.4,7.0963,10.5348,fallback,True,0,0,1064.99,0,0,1179.51,0,0,2180.29,8,5,5.54,5537.61,8,2026-03-23T08:50:30.648265+00:00
osm_10049098934,Unknown Cafe,cafe,openstreetmap,27.6724842,85.3647727,,37599.0,8355.0,2.2,14704.0,14.704,0.0,0.0,0.0,0,0.0,0.0,9.0,5.0,11.01,5530.71,8.0,1500.0,0.0,0.0,1057.86,0.0,1172.44,0.0,2176.22,0,0,0,0.0,0.0,5.57125,2.7,7.0963,10.5348,fallback,True,0,0,1057.86,0,0,1172.44,0,0,2176.22,9,5,11.01,5530.71,8,2026-03-23T08:50:30.648265+00:00
osm_10049098936,Jhol Momo,cafe,openstreetmap,27.6734967,85.3647123,,37599.0,8355.0,2.2,14704.0,14.704,0.0,0.0,0.0,0,0.0,0.0,11.0,5.0,112.74,5477.04,8.0,1500.0,0.0,0.0,1019.31,0.0,1134.02,0.0,2170.61,0,0,0,0.0,0.0,5.57125,3.3,7.0963,10.5348,fallback,True,0,0,1019.31,0,0,1134.02,0,0,2170.61,11,5,112.74,5477.04,8,2026-03-23T08:50:30.648265+00:00
